StudentID,StoryID,ClaimNum,NoteTrend,Claim
10375104,10,1,0,Female or Male they go to warm places where temperature go up to 80 degrees. They always go to warmer places
10375104,10,2,1,"Look at 1968, 83.75 degrees, and then look at 2016, 85.57 degrees the temperature goes higher not lower."
10375114,0,1,0,"I think this clam is true, Because in the story it says the Monarch Butterfly's temperature affects how quickly it goes through its life cycle stages."
10375114,0,2,0,"I think this clam is false, Because well I was reading it said that we have to keep estamating the range, Because more Monarch Butterfly's keep coming to the perfecht wether in Mexico to the forest."
10375116,0,1,0,"I think that the temperature effects how quickly it goes threw its life cycle stages partly true/partly false. Because when it is inside it has no place to do its stages and its temperature is to high or low. Also, It is different when its a chrysalis because, whether inside or outside its about the same temperature either way."
10375116,0,2,1,"I think it is false because through the years the population has gone down 100's. For example the population has gone down 876.000 (876 hundredths), from 909.50 to only 33.50. So that is why I think that it is false."
10375123,0,1,1,because if it is could the cocoon is cold then it might freeze and when i am outside in the winter i do not see catpellar's  or butterfly's. In the summer i think it would be much qucker.
10375123,0,2,0,because some butterfly's moved to other places in the world they did not just stay in one place.
10375131,0,1,1,I think the claim is true because outside it is 56.84 degrees  and the butterfly is in the caterpillar stage. The other one says that it is 59.54 degrees and the butterfly in in it's chrysallis stage.
10375131,0,2,1,I think the claim is false because in 1996 the butterfly population is 909.50 million and in 2013 the butterfly population is 33.50 million and there is a big difference in 33.50 million and 909.50 million. So the butterfly population has gone down a lot
10375146,10,1,1,I think this claim is true because all the females numbers are within a couple of numbers of each other. And it is the same for male.\n\nI think this because in the data it says on one piece of evidence that it was 85.82 degress and it was a female then another one said 85.54 and that was a female. \n\nanother reason i think this is because in the data it says 80.56 and it was a male then another one said 80.60 and that was a male to.\n\nin conclusion I think claim 1 is true.\n\n
10375146,10,2,0,I think this claim is false. I think that because it is all around the same number. \n\nI think that because in almost all the numbers are 85 degress  for exsample 17 out of 29 are 85 degress. \n\nAnother reason I think this is because the temperture goes down by like 1 degree and then it goes back up. for example it goes down to 84 degress and then goes back up to 85 degress.\n\nin conclusion i think this claim is false
10375155,0,1,0,I think this claim is partly true partly false because it has to be a certain temperture for a cryselis to form.
10375155,0,2,0,"I think this claim is false because the populatoin has not stayed the same, this is because as the years increase the butterfly number increases to.for example in 1996 there were 33.50 million and fast forward to 2003 there were 556.00 and it just keeps droping and soon there will be no butterflies."
10375160,10,1,1,I think this claim is true because whether sea turtles lay there eggs in the sand and the different temperatures that effect in there eggs shell could change there formation of themselves. To turn into to a male or female. Also I notice that the temperatures stay in the eighties maybe  that also has something to do with it. Males usually in Suriname tend to stat around in under the 85's but females on the other hand stay above an 85 maybe that's a reason the come out male or female.\n
10375160,10,2,0,I think its true because it depends on the weather.And if is hot or cold \n
10375174,0,1,1,Most of the chrysalis temperatures are 60 degrees and over plus maybe the temperatures have something to do with their migration because the text did say that they preffered lukewarm temperature
10375174,0,2,1,The chart clearly shows the population decrease from 909 million to 33 million and maybe it is due to natural causes or something happened  on the way
10375176,10,1,0,"I think it has to do with the turtle population.Because on top of the sand it was warm,But when you dig it gets colder because theirs no sun light but on the other hand when they get layed the ones more to the surface they have more light then others and it shows what is the temperature with is just the right to hatch in my option but the ones with less heat still might hatch that why i think it is partly true/partly false"
10375176,10,2,0,I think that is partly true and partly false because overtime in 1960 the temperature was 84 degrees it did get hotter but it did call down sometime but golble warming witch is making the weather warmer also it goes down and up so i guess it is kind of the same
10375180,10,1,1,I think that this is true because mostly the females are born in hotter sands but all the temputaures are close together which would make me conclude that it would be true. Climate change might over populate the sea turles because if more femals are born in hotter snads that there is going to be a lot more female sea turtles to lay there eggs. This could also impact the population in a different way. That way being there would be not enough males so they could not mate. So that would make the population drop.
10375180,10,2,1,Why I think it is false is pretty simple. If you look at the table or digram then it shows in 1960 the temputare of the sand was 84.56 degrees F. And then go 2014 the temputuare is 86.16 degrees F. So that would lead me to believe that the temputuare of the sand is increasing not decreasing.
10375182,0,1,0,"I think its true because in colder weathers, monarch butterflies usually go inside where it warmer but when  monarch butterflies are in warmer weather they tend to go outside because it would be way warmer than the colder times."
10375182,0,2,0,I think its false because every year its grows to more counts  but in the claim it said the populations stayed the same every year.
